Date,State,COVID-19 PCR tests reported,Total cases,Confirmed cases,Probable cases,Hospitalized cases,Total deaths,Confirmed deaths,Probable deaths,cases_age0_9,cases_age10_19,cases_age20_29,cases_age30_39,cases_age40_49,cases_age50_59,cases_age60_69,cases_age70_79,cases_age80_Older
05/21/2020,CONNECTICUT,202328,39640,,,740,3637,,,421,966,4417,5505,5619,6922,5845,3881,5947
05/22/2020,CONNECTICUT,208367,40022,,,724,3675,,,436,981,4479,5563,5674,6974,5882,3905,5992
05/23/2020,CONNECTICUT,214136,40468,,,701,3693,,,446,992,4532,5636,5723,7027,5916,3961,6100
05/24/2020,CONNECTICUT,221726,40873,,,706,3742,,,459,1016,4590,5705,5788,7087,5971,3995,6147
04/27/2020,CONNECTICUT,90746,25997,,,1758,2012,,,188,523,2750,3614,3885,4796,4011,2501,3498
04/26/2020,CONNECTICUT,79811,25269,,,1766,1924,,,184,500,2647,3509,3788,4689,3903,2433,3382
04/25/2020,CONNECTICUT,77602,24582,,,1810,1862,,,178,492,2576,3428,3708,4576,3824,2338,3225
04/24/2020,CONNECTICUT,74038,23921,,,1877,1764,,,176,482,2465,3322,3621,4464,3739,2283,3134
04/23/2020,CONNECTICUT,71497,23100,,,1947,1639,,,169,465,2397,3204,3537,4335,3632,2172,2951
04/22/2020,CONNECTICUT,69918,22469,,,1972,1544,,,166,448,2313,3136,3450,4232,3549,2114,2828
04/21/2020,CONNECTICUT,64192,20360,,,1949,1423,,,144,386,2074,2805,3121,3774,3247,1948,2624
04/20/2020,CONNECTICUT,62806,19815,,,1919,1331,,,137,371,2013,2718,3048,3696,3162,1901,2533
04/19/2020,CONNECTICUT,59759,17962,,,1901,1127,,,138,349,1884,2520,2846,3433,2871,1662,2095
04/18/2020,CONNECTICUT,58213,17550,,,1938,1086,,,133,345,1854,2469,2791,3375,2805,1618,1994
04/17/2020,CONNECTICUT,55462,16809,,,1946,1036,,,130,330,1781,2379,2683,3248,2683,1541,1866
04/16/2020,CONNECTICUT,53122,15884,,,1926,971,,,117,311,1670,2244,2534,3050,2545,1477,1734
04/15/2020,CONNECTICUT,50143,14755,,,1908,868,,,107,291,1557,2101,2348,2838,2357,1381,1581
04/14/2020,CONNECTICUT,45841,13989,,,1779,671,,,100,281,1489,2013,2256,2715,2245,1266,1396
04/13/2020,CONNECTICUT,44309,13381,,,1760,602,,,97,274,1430,1921,2151,2593,2148,1212,1314
04/12/2020,CONNECTICUT,41220,12035,,,1654,554,,,89,245,1305,1772,1972,2372,1947,1080,1167
04/11/2020,CONNECTICUT,39831,11510,,,1593,494,,,88,238,1266,1701,1887,2273,1854,1027,1090
04/10/2020,CONNECTICUT,36288,10538,,,1562,448,,,81,215,1178,1575,1747,2115,1675,916,940
04/09/2020,CONNECTICUT,33502,9784,,,1464,380,,,77,203,1097,1478,1626,1968,1561,836,839
04/08/2020,CONNECTICUT,31700,8781,,,1418,335,,,73,184,973,1328,1438,1761,1417,748,752
04/07/2020,CONNECTICUT,29036,7781,,,1308,277,,,67,168,870,1189,1302,1550,1247,646,635
04/06/2020,CONNECTICUT,26686,6906,,,1221,206,,,60,149,792,1062,1189,1390,1092,569,546
04/05/2020,CONNECTICUT,23270,5675,,,1142,189,,,49,113,639,856,963,1152,896,475,463
04/04/2020,CONNECTICUT,22029,5276,,,1033,165,,,47,106,607,801,900,1084,829,441,391
04/03/2020,CONNECTICUT,20015,4914,,,909,131,,,39,97,561,743,834,1010,756,403,341
04/02/2020,CONNECTICUT,18300,3824,,,827,112,,,31,78,464,585,664,810,607,320,260
04/01/2020,CONNECTICUT,16600,3557,,,766,85,,,29,74,432,560,620,752,550,296,240
03/31/2020,CONNECTICUT,15600,3128,,,608,69,,,28,66,387,496,536,665,485,253,208
03/30/2020,CONNECTICUT,14600,2571,,,517,36,,,27,58,320,403,427,550,406,221,159
03/29/2020,CONNECTICUT,,1993,,,205,34,,,20,48,239,308,324,428,314,172,140
03/28/2020,CONNECTICUT,,1524,,,205,33,,,15,35,192,230,231,326,228,144,123
03/27/2020,CONNECTICUT,,1291,,,173,27,,,11,23,168,192,190,275,200,124,108
03/26/2020,CONNECTICUT,,1012,,,125,21,,,14,20,142,151,154,204,151,94,82
03/25/2020,CONNECTICUT,,883,,,113,19,,,12,19,120,131,138,172,133,84,74
03/24/2020,CONNECTICUT,,618,,,71,12,,,9,10,78,81,105,115,98,61,59
04/28/2020,CONNECTICUT,92745,26312,,,1732,2089,,,190,532,2770,3651,3905,4840,4053,2545,3593
04/29/2020,CONNECTICUT,94818,26767,,,1691,2168,,,199,537,2820,3695,3952,4894,4124,2609,3704
04/30/2020,CONNECTICUT,97133,27700,,,1650,2257,,,207,568,2936,3821,4063,5040,4259,2712,3860
05/01/2020,CONNECTICUT,100257,28764,,,1592,2339,,,214,589,3051,3977,4227,5218,4413,2808,4063
05/02/2020,CONNECTICUT,102493,29287,,,1551,2436,,,220,603,3122,4042,4298,5297,4483,2872,4193
05/03/2020,CONNECTICUT,105330,29973,,,1464,2556,,,226,611,3190,4151,4401,5405,4583,2946,4307
05/04/2020,CONNECTICUT,108643,30621,,,1500,2633,,,239,628,3292,4254,4491,5493,4663,3010,4400
05/05/2020,CONNECTICUT,111447,30995,,,1445,2718,,,243,638,3332,4303,4531,5539,4716,3062,4485
05/06/2020,CONNECTICUT,116174,31784,,,1385,2797,,,256,663,3411,4393,4638,5672,4824,3159,4626
05/07/2020,CONNECTICUT,120541,32411,,,1336,2874,,,267,684,3506,4505,4728,5768,4894,3216,4704
05/08/2020,CONNECTICUT,123569,32984,,,1301,2932,,,280,709,3577,4587,4799,5852,4974,3266,4805
05/09/2020,CONNECTICUT,130192,33554,,,1242,2967,,,287,724,3649,4661,4870,5956,5060,3304,4902
05/10/2020,CONNECTICUT,132508,33765,,,1212,3008,,,289,729,3664,4677,4898,5996,5091,3330,4950
05/11/2020,CONNECTICUT,138424,34333,,,1189,3041,,,303,748,3739,4777,4970,6088,5152,3384,5032
05/12/2020,CONNECTICUT,142943,34855,,,1158,3125,,,313,765,3825,4858,5036,6159,5209,3432,5131
05/13/2020,CONNECTICUT,149562,35464,,,1103,3219,,,328,789,3866,4934,5095,6266,5299,3495,5260
05/14/2020,CONNECTICUT,155908,36085,,,1033,3285,,,332,810,3955,5035,5184,6363,5381,3549,5343
05/15/2020,CONNECTICUT,164755,36703,,,994,3339,,,339,830,4037,5123,5251,6453,5457,3609,5463
05/16/2020,CONNECTICUT,170607,37419,,,937,3408,,,352,852,4131,5236,5345,6597,5568,3668,5545
05/17/2020,CONNECTICUT,177679,38116,,,920,3449,,,376,900,4247,5297,5427,6690,5620,3742,5681
05/18/2020,CONNECTICUT,185520,38430,,,914,3472,,,386,897,4264,5340,5475,6739,5686,3772,5748
05/19/2020,CONNECTICUT,190718,39017,,,887,3529,,,407,935,4338,5423,5549,6833,5764,3829,5817
05/20/2020,CONNECTICUT,196447,39208,,,816,3582,,,409,942,4368,5449,5571,6857,5787,3842,5863
05/25/2020,CONNECTICUT,225362,41303,,,694,3769,,,465,1040,4650,5747,5882,7184,6021,4016,6165
05/26/2020,CONNECTICUT,229769,41288,,,684,3803,,,477,1040,4641,5753,5846,7150,6025,4022,6222
05/27/2020,CONNECTICUT,235525,41559,,,648,3826,,,481,1050,4682,5791,5871,7200,6067,4039,6265
05/28/2020,CONNECTICUT,241393,41762,,,577,3868,,,488,1059,4702,5829,5896,7219,6096,4055,6299
05/29/2020,CONNECTICUT,246935,42022,,,533,3912,,,501,1072,4751,5855,5933,7257,6122,4076,6333
05/30/2020,CONNECTICUT,250046,42201,,,481,3944,,,508,1078,4763,5867,5949,7286,6147,4099,6378
05/31/2020,CONNECTICUT,259320,42743,40670,2073,454,3970,3111,859,515,1102,4829,5948,6015,7349,6198,4133,6527
06/01/2020,CONNECTICUT,268572,42979,40941,2038,434,3972,3139,833,523,1117,4863,5980,6049,7386,6214,4152,6568
06/02/2020,CONNECTICUT,274396,43091,41051,2040,406,3989,3156,833,530,1126,4886,5991,6059,7387,6226,4154,6581
06/03/2020,CONNECTICUT,279457,43239,41171,2068,373,4007,3171,836,538,1136,4903,6021,6072,7405,6249,4165,6608
06/04/2020,CONNECTICUT,285314,43460,41387,2073,350,4038,3196,842,540,1151,4950,6058,6110,7437,6269,4171,6640
