"","Date","New positive labs","Total positive labs","New negative labs","Total negative labs","Total tested","New hospital admissions","Cumulative hospital admissions","New hospital discharges","Cumulative hospital discharges","Hospital Deaths","Cumulative Hospital Deaths","Currently hospitalized","ICU","Vented","Deaths","Total deaths"
"1",2020-07-07,41,17204,3342,247012,264216,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,971
"2",2020-07-06,55,17163,2709,243670,260833,4,2043,5,1683,0,304,56,5,5,3,970
"3",2020-07-05,24,17108,2826,240961,258069,1,2039,2,1678,1,304,57,4,4,2,967
"4",2020-07-04,27,17084,2227,238135,255219,2,2038,4,1676,1,303,59,6,5,1,965
"5",2020-07-03,22,17057,1851,235908,252965,7,2036,6,1672,0,302,62,5,5,3,964
"6",2020-07-02,59,17035,2606,234057,251092,4,2029,5,1666,1,302,61,6,6,0,961
"7",2020-07-01,65,16976,3958,231451,248427,7,2025,9,1661,0,301,63,9,7,1,961
"8",2020-06-30,40,16911,1881,227493,244404,1,2018,5,1652,1,301,65,NA,NA,3,960
"9",2020-06-29,36,16871,3620,225612,242483,4,2017,5,1647,0,300,70,11,10,1,957
"10",2020-06-28,22,16835,1435,221992,238827,3,2013,4,1642,4,300,71,11,11,6,956
"11",2020-06-27,36,16813,3189,220557,237370,4,2010,3,1638,1,296,76,13,13,5,950
"12",2020-06-26,69,16777,2369,217368,234145,2,2006,9,1635,0,295,76,15,14,1,945
"13",2020-06-25,45,16708,2746,214999,231707,5,2004,14,1626,1,295,83,16,15,0,944
"14",2020-06-24,51,16663,3243,212253,228916,8,1999,10,1612,1,294,93,NA,NA,5,944
"15",2020-06-23,77,16612,3602,209010,225622,3,1991,13,1602,3,293,96,16,15,6,939
"16",2020-06-22,59,16535,3548,205408,221943,12,1988,16,1589,0,290,109,18,17,1,933
"17",2020-06-21,27,16476,975,201860,218336,7,1976,5,1573,0,290,113,20,16,2,932
"18",2020-06-20,36,16449,1682,200885,217334,7,1969,9,1568,0,290,111,19,17,3,930
"19",2020-06-19,59,16413,3429,199203,215616,12,1962,11,1559,1,290,113,18,15,3,927
"20",2020-06-18,71,16354,2870,195774,212128,9,1950,13,1548,1,289,113,NA,NA,7,924
"21",2020-06-17,51,16283,2566,192904,209187,15,1941,20,1535,4,288,118,NA,NA,6,917
"22",2020-06-16,52,16232,2806,190338,206570,10,1926,10,1515,1,284,127,23,12,8,911
"23",2020-06-15,76,16180,2961,187532,203712,14,1916,14,1505,0,283,128,23,13,4,903
"24",2020-06-14,32,16104,1871,184571,200675,6,1902,8,1491,1,283,128,17,13,3,899
"25",2020-06-13,49,16072,2742,182700,198772,6,1896,4,1483,0,282,131,16,13,3,896
"26",2020-06-12,81,16023,4383,179958,195981,8,1890,15,1479,1,282,129,21,14,2,893
"27",2020-06-11,87,15942,3375,175575,191517,7,1882,15,1464,1,281,137,NA,NA,6,891
"28",2020-06-10,104,15855,2859,172200,188055,13,1875,12,1449,2,280,146,NA,NA,3,885
"29",2020-06-09,68,15751,2533,169341,185092,10,1862,18,1437,0,278,147,28,17,1,882
"30",2020-06-08,45,15683,1748,166808,182491,15,1852,12,1419,2,278,155,26,16,4,881
"31",2020-06-07,49,15638,1581,165060,180698,11,1837,7,1407,1,276,154,27,16,4,877
"32",2020-06-06,68,15589,2605,163479,179068,10,1826,7,1400,2,275,151,31,19,6,873
"33",2020-06-05,105,15521,3484,160874,176395,15,1816,12,1393,5,273,150,28,20,9,867
"34",2020-06-04,117,15416,4453,157390,172806,7,1801,25,1381,3,268,152,NA,NA,11,858
"35",2020-06-03,105,15299,3447,152937,168236,13,1794,18,1356,6,265,173,NA,NA,11,847
"36",2020-06-02,107,15194,2986,149490,164684,8,1781,9,1338,3,259,184,37,23,10,836
"37",2020-06-01,99,15087,2734,146504,161591,8,1773,12,1329,1,256,188,42,29,5,826
"38",2020-05-31,76,14988,1727,143770,158758,10,1765,10,1317,0,255,193,44,30,3,821
"39",2020-05-30,104,14912,3958,142043,156955,15,1755,19,1307,4,255,193,48,31,12,818
"40",2020-05-29,178,14808,3902,138085,152893,18,1740,27,1288,5,251,201,46,29,12,806
"41",2020-05-28,132,14630,3281,134183,148813,17,1722,29,1261,4,246,215,46,29,7,794
"42",2020-05-27,133,14498,2055,130902,145400,20,1705,17,1232,3,242,231,50,32,10,787
"43",2020-05-26,154,14365,2545,128847,143212,24,1685,22,1215,5,239,231,47,33,15,777
"44",2020-05-25,70,14211,1366,126302,140513,12,1661,14,1193,0,234,234,53,36,10,762
"45",2020-05-24,84,14141,1352,124936,139077,12,1649,14,1179,2,234,236,49,35,8,752
"46",2020-05-23,108,14057,2724,123584,137641,19,1637,11,1165,3,232,240,50,36,13,744
"47",2020-05-22,201,13949,2974,120860,134809,19,1618,29,1154,5,229,235,NA,NA,10,731
"48",2020-05-21,169,13748,3745,117886,131634,26,1599,15,1125,3,224,250,49,32,20,721
"49",2020-05-20,187,13579,2758,114141,127720,19,1573,23,1110,7,221,242,51,34,22,701
"50",2020-05-19,215,13392,3080,111383,124775,23,1554,31,1087,5,214,253,56,40,11,679
"51",2020-05-18,137,13177,1906,108303,121480,19,1531,15,1056,5,209,266,56,41,18,668
"52",2020-05-17,125,13040,2705,106397,119437,17,1512,7,1041,5,204,267,58,45,10,650
"53",2020-05-16,252,12915,3875,103692,116607,25,1495,12,1034,5,199,262,59,44,14,640
"54",2020-05-15,232,12663,3313,99817,112480,24,1470,41,1022,5,194,254,62,46,13,626
"55",2020-05-14,228,12431,3292,96504,108935,19,1446,27,981,3,189,276,64,45,15,613
"56",2020-05-13,196,12203,3515,93212,105415,22,1427,24,954,1,186,287,66,44,13,598
"57",2020-05-12,219,12007,2433,89697,101704,23,1405,18,930,4,185,290,63,41,22,585
"58",2020-05-11,175,11788,1797,87264,99052,31,1382,16,912,6,181,289,65,42,15,563
"59",2020-05-10,186,11613,2090,85467,97080,19,1351,23,896,6,175,280,68,48,13,548
"60",2020-05-09,286,11427,3290,83377,94804,22,1332,21,873,4,169,290,72,53,15,535
"61",2020-05-08,231,11141,2494,80087,91228,30,1310,29,852,5,165,293,73,52,22,520
"62",2020-05-07,271,10910,2904,77593,88503,36,1280,41,823,5,160,297,70,52,21,498
"63",2020-05-06,342,10639,2836,74689,85328,28,1244,44,782,9,155,307,77,56,21,477
"64",2020-05-05,303,10297,2878,71853,82150,28,1216,32,738,6,146,332,71,52,16,456
"65",2020-05-04,291,9994,2101,68975,78969,30,1188,31,706,5,140,342,82,56,18,440
"66",2020-05-03,181,9703,2168,66874,76577,31,1158,27,675,8,135,348,86,60,21,422
"67",2020-05-02,189,9522,1926,64706,74228,35,1127,39,648,5,127,352,89,62,24,401
"68",2020-05-01,317,9333,3089,62780,72113,51,1092,39,609,3,122,361,84,61,14,377
"69",2020-04-30,348,9016,2772,59691,68707,33,1041,38,570,6,119,352,83,59,24,363
"70",2020-04-29,372,8668,3351,56919,65587,36,1008,37,532,11,113,363,80,54,18,339
"71",2020-04-28,324,8296,2268,53568,61864,44,972,24,495,3,102,375,76,51,22,321
"72",2020-04-27,203,7972,1624,51300,59272,29,928,21,471,4,99,358,98,62,10,299
"73",2020-04-26,276,7769,2314,49676,57445,33,899,15,450,3,95,354,80,55,14,289
"74",2020-04-25,305,7493,2210,47362,54855,34,866,17,435,5,92,339,84,55,14,275
"75",2020-04-24,415,7188,3292,45152,52340,35,832,27,418,4,87,327,81,56,15,261
"76",2020-04-23,419,6773,2471,41860,48633,30,797,28,391,5,83,323,78,53,15,246
"77",2020-04-22,382,6354,2398,39389,45743,41,767,32,363,5,78,326,77,52,17,231
"78",2020-04-21,387,5972,2114,36991,42963,45,726,31,331,5,73,322,77,48,18,214
"79",2020-04-20,378,5585,1909,34877,40462,46,681,29,300,2,68,313,72,45,10,196
"80",2020-04-19,339,5207,2059,32968,38175,23,635,26,271,1,66,298,71,44,11,186
"81",2020-04-18,283,4868,1728,30909,35777,26,612,18,245,4,65,302,67,43,15,175
"82",2020-04-17,290,4585,1823,29181,33766,31,586,21,227,7,61,298,62,45,21,160
"83",2020-04-16,392,4295,2500,27358,31653,36,555,25,206,6,54,295,70,43,14,139
"84",2020-04-15,307,3903,1803,24858,28761,31,519,19,181,3,48,290,67,43,17,125
"85",2020-04-14,267,3596,1788,23055,26651,27,488,17,162,5,45,281,62,43,8,108
"86",2020-04-13,187,3329,938,21267,24596,35,461,13,145,3,40,276,61,43,9,100
"87",2020-04-12,289,3142,1674,20329,23471,35,426,13,132,5,37,257,54,44,10,91
"88",2020-04-11,280,2853,1911,18655,21508,29,391,11,119,2,32,240,49,40,11,81
"89",2020-04-10,404,2573,2577,16744,19317,29,362,17,108,5,30,224,48,36,11,70
"90",2020-04-09,279,2169,1521,14167,16336,32,333,9,91,4,25,217,50,38,7,59
"91",2020-04-08,273,1890,1723,12646,14536,19,301,8,82,6,21,198,50,36,10,52
"92",2020-04-07,261,1617,1631,10923,12540,20,282,3,74,2,15,193,45,35,5,42
"93",2020-04-06,206,1356,1707,9292,10648,26,262,7,71,0,13,178,45,38,7,37
"94",2020-04-05,182,1150,1156,7585,8735,20,236,9,64,1,13,159,45,37,2,30
"95",2020-04-04,137,968,660,6429,7397,22,216,4,55,5,12,149,NA,NA,9,28
"96",2020-04-03,101,831,775,5769,6600,23,194,7,51,0,7,136,NA,NA,3,19
"97",2020-04-02,62,730,477,4994,5724,21,171,6,44,2,7,120,NA,NA,4,16
"98",2020-04-01,100,668,699,4517,5185,18,150,7,38,0,5,107,NA,NA,1,12
"99",2020-03-31,73,568,369,3818,4386,11,132,7,31,1,5,96,NA,NA,2,11
"100",2020-03-30,78,495,222,3449,3944,20,121,5,24,0,4,93,NA,NA,3,9
"101",2020-03-29,105,417,356,3227,3644,8,101,4,19,1,4,78,NA,NA,2,6
"102",2020-03-28,64,312,260,2871,3183,13,93,3,15,2,3,75,NA,NA,1,4
"103",2020-03-27,31,248,215,2611,2859,9,80,1,12,1,1,67,NA,NA,2,3
"104",2020-03-26,41,217,181,2396,2613,10,71,5,11,0,0,60,NA,NA,0,1
"105",2020-03-25,28,176,183,2215,2391,5,61,1,6,0,0,55,NA,NA,0,1
"106",2020-03-24,19,148,243,2032,2180,7,56,0,5,0,0,51,NA,NA,0,1
"107",2020-03-23,16,129,169,1789,1918,16,49,1,5,0,0,44,NA,NA,0,1
"108",2020-03-22,25,113,282,1620,1733,2,33,0,4,0,0,29,NA,NA,0,1
